Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
28,36,24,28,24,19,32,20,30,22,28,22,20,22,30,34,30,30,28,26,31,22,27,35,26,14,26,30,38,32,22,17
23,33,21,31,27,23,32,23,30,21,24,20,19,18,28,34,32,30,24,28,28,21,26,34,28,17,29,29,43,31,23,19
26,32,24,29,29,26,32,25,30,17,26,20,19,22,27,33,30,31,23,27,27,19,23,31,28,20,31,28,41,30,27,21
27,34,29,30,29,31,31,22,28,16,28,18,19,24,28,30,33,31,22,27,26,21,23,32,26,19,30,26,44,29,24,23
26,37,33,26,29,33,31,24,27,17,30,17,18,23,28,29,35,32,20,29,29,21,26,30,27,18,32,29,47,29,22,24
26,38,34,29,26,32,32,25,26,16,34,17,17,21,27,27,37,33,18,28,29,22,22,25,25,16,32,29,46,30,20,24
28,40,39,32,21,33,33,27,23,17,31,20,16,21,29,28,36,35,13,30,28,22,21,26,24,18,35,28,46,31,17,24
27,39,39,29,23,35,34,26,20,14,33,18,19,24,28,24,38,33,11,33,31,20,19,29,26,17,37,28,45,30,15,28
22,39,41,24,20,35,34,22,23,14,31,20,21,25,29,24,41,34,10,37,31,19,18,31,26,18,34,27,45,32,18,30
23,40,42,28,20,38,35,20,26,16,35,22,19,28,32,26,43,35,10,39,31,17,19,31,29,22,38,27,46,36,22,28
28,44,46,33,18,38,40,23,26,16,36,20,16,30,36,30,44,36,7,42,33,20,21,35,31,22,37,31,51,38,20,29
29,43,47,33,17,37,42,19,26,20,36,20,16,34,38,30,42,36,6,40,32,20,23,34,31,21,38,32,51,37,21,27
25,42,44,30,15,35,43,16,24,23,41,21,15,33,43,33,45,39,4,41,32,21,25,34,32,20,40,30,52,34,15,25
23,38,42,28,17,34,44,15,26,24,43,22,18,35,44,37,43,39,1,45,36,21,26,33,35,23,42,31,49,32,15,29
24,34,39,32,22,29,46,14,27,28,41,23,17,35,43,38,41,37,1,41,31,24,23,36,31,26,42,29,50,31,20,34
27,35,37,32,21,27,45,11,25,29,36,23,17,33,41,38,37,35,3,39,28,23,25,40,28,30,42,28,50,33,23,32
28,37,37,30,22,32,47,8,26,29,38,18,18,32,42,36,38,34,5,40,30,24,25,42,29,29,40,28,49,31,24,31
33,40,37,32,24,33,47,10,26,32,37,22,17,31,43,37,36,34,8,39,27,26,27,43,28,31,41,32,49,32,26,28
33,37,32,31,26,31,44,12,24,30,34,24,19,29,41,37,31,31,12,40,29,28,30,42,27,32,42,35,47,28,22,26
32,37,25,27,29,27,44,14,22,26,30,21,18,25,41,36,30,30,15,40,32,27,32,43,25,31,42,35,47,24,23,22
30,36,20,23,30,25,42,15,22,25,27,21,22,22,35,29,27,27,16,35,29,22,30,39,21,34,43,29,44,22,24,21
