Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
"(0.3098566834776525, 1.3452670358373884)","(0.336510353930744, 1.2486301700207272)","(0.3441843221975105, 1.2561363580863107)","(0.24200210388578802, 1.6228524101220747)","(0.1163192585341444, 3.0272585815648103)","(0.19692154430387088, 1.9220862263534155)","(0.2819141576388841, 1.4580081254996267)","(0.16480065280852427, 2.181563123554767)","(0.17517102976200605, 2.0763427934882563)","(0.17459575248571857, 1.8809944412529773)","(0.19621632479181456, 1.6486345350905078)","(0.15275178211177362, 2.2317586019228783)","(0.19002274510448666, 1.8456395019577196)","(0.21612594787126896, 1.5115610349817001)","(0.19970863489025772, 1.6707913465291135)","(0.21407338050095565, 1.6008198850021866)","(0.211072837584427, 1.5930331675146951)","(0.19742666854482205, 1.724212549718147)","(0.21711842297533887, 1.521133574361596)","(0.22790592881256724, 1.513108053907846)","(0.2313531331666254, 1.5019988817089145)","(0.23001915672103398, 1.5050877844959492)","(0.212653497145244, 1.666506188067518)","(0.23765107076149972, 1.5367157008682424)","(0.26077090718315904, 1.4924639158411988)","(0.21677215262889538, 1.694851155286115)","(0.2817864416575937, 1.449062525309395)","(0.2188243402749768, 1.7417996365137522)","(0.3076256443115632, 1.3491695746989596)","(0.20456131796464122, 1.7636207798625858)","(0.1648411904741638, 2.209401226293809)","(0.1950775078568223, 1.8247743568383354)"
"(0.31649322203776536, 1.3213509162866313)","(0.3471712287087798, 1.1974578758148693)","(0.3032931820191667, 1.3906077424125267)","(0.22355776990827966, 1.6781779290807133)","(0.14018474797138739, 2.5338518257878087)","(0.22051889102763444, 1.7537900192236249)","(0.25994815217110945, 1.5146595809986707)","(0.16999906852839428, 2.156658860734825)","(0.15079729808183026, 2.142689342944042)","(0.16011117250900397, 2.201031178716718)","(0.16470367301243044, 1.9780834474458087)","(0.14078058691246245, 2.3587367464783533)","(0.14116569462615033, 2.320473144601966)","(0.17675708567707252, 1.7681212663290453)","(0.15082886102128376, 2.0166940677153073)","(0.17712234295622525, 1.770504719999304)","(0.1700031231168276, 1.8606826952040798)","(0.17047686108294044, 1.9029836666700033)","(0.18252027646840344, 1.8768839742386536)","(0.2016856117341519, 1.6606616577602922)","(0.1935456807399921, 1.9470658141493693)","(0.19631074777188742, 1.8949892620098485)","(0.18990935288693442, 2.0486689157413998)","(0.22265493554659346, 1.7823246946819644)","(0.2707815906355487, 1.5081228457454527)","(0.23981774943239711, 1.647685744272439)","(0.29723478137493586, 1.3266969343917672)","(0.24291397037538995, 1.6137820286624063)","(0.31987678929225905, 1.2170965015345303)","(0.23024055015884237, 1.6934667793095637)","(0.18822930006017735, 2.1551112513323023)","(0.21305702503238244, 1.7851389006149272)"
"(0.3117873964964747, 1.3325033787561653)","(0.32176528789540704, 1.2293968528944992)","(0.3124372856530731, 1.3128267625868013)","(0.18929261599741504, 1.9959363512707982)","(0.19431707069986573, 1.885025504521463)","(0.24403702542130754, 1.6330809163977558)","(0.21748391139209122, 1.7399438817392787)","(0.19601222149565686, 1.897724678994115)","(0.14627233565061878, 2.1929460327603696)","(0.17315513243463457, 1.9277948054197507)","(0.18130750520958766, 1.8987242785941183)","(0.1831782211618965, 1.853199636142244)","(0.16805836376624458, 1.927105715738177)","(0.19457993508354768, 1.7187386980508386)","(0.16976002590743833, 1.9443953944115302)","(0.1756919343856655, 1.8513927748411934)","(0.1612628996187675, 2.0410289606255527)","(0.16112832651925896, 2.053613127057244)","(0.1619077745774512, 2.0525697730940893)","(0.16900972124610555, 2.015036321985177)","(0.16615308818636004, 2.010314239192953)","(0.16374734360563006, 2.0278594299925494)","(0.16821950996017818, 2.124474647503746)","(0.18118462101120153, 2.0414288571680634)","(0.24969041957898647, 1.6028079360635519)","(0.23190806343569453, 1.622423189432742)","(0.3064646862470011, 1.2991166652781998)","(0.22530251516687896, 1.6175991428386254)","(0.30514905842239837, 1.244489369054251)","(0.2246857639917078, 1.6633938692746388)","(0.2075686765967285, 1.8705632131241252)","(0.20414719796982728, 1.734275366547196)"
"(0.272355506830479, 1.4824993675384108)","(0.2907848247614829, 1.3420561736615395)","(0.28345613206910153, 1.4526633926995918)","(0.20122302276814433, 1.964490868597565)","(0.16525090370174686, 2.0918175323738755)","(0.214162473901615, 1.906229211767018)","(0.20198467022703495, 1.9055888346913417)","(0.16603124427751859, 1.974613595440039)","(0.14633158642621158, 2.1476173363197035)","(0.18221211529308987, 1.6398626504991551)","(0.1576481870955816, 2.0302251468848898)","(0.1866673863212221, 1.718502814405428)","(0.1781879465303133, 1.7490672775610951)","(0.20258628936714634, 1.5626444062988374)","(0.17033634013493074, 1.8830366171691553)","(0.17079474038528417, 1.8600484593493767)","(0.17534137922930765, 1.81889073038907)","(0.17313952538998004, 1.860568929085352)","(0.17159969728286262, 1.8742948207187806)","(0.17040647952134594, 1.9304087102982845)","(0.18653779613716098, 1.7397152968399952)","(0.18036803091788997, 1.8166552967296072)","(0.18844747961364022, 1.7849444246946262)","(0.18559042009544008, 1.815254561187265)","(0.25293309070138215, 1.5571908846632652)","(0.2204970710337894, 1.5804851814465963)","(0.3123174460980318, 1.3208436034975557)","(0.2064393896372842, 1.6879629606848907)","(0.27907747766994895, 1.3474065336688246)","(0.21657589485377193, 1.7023139010199955)","(0.19181348163380912, 1.7323403482548356)","(0.18267505409637055, 1.7253101429267546)"
"(0.2698188473825141, 1.5070714658058504)","(0.3322762793689314, 1.271786286020755)","(0.31340789092362237, 1.3603206759720246)","(0.29007216803157976, 1.3637757340294816)","(0.16732542512989582, 1.9184429175452395)","(0.22854267023791974, 1.7570892160238574)","(0.21977520312822366, 1.7639465122671139)","(0.15066089565374857, 2.1553753447608006)","(0.16917416941007946, 1.9501259456559539)","(0.17398821398986394, 1.788671393167117)","(0.1338575946759229, 2.401396969946925)","(0.18294749594765683, 1.801806921956963)","(0.1859512423144483, 1.7503510340011368)","(0.1857169939601606, 1.7949840271492616)","(0.14793607046498594, 2.3076025130418256)","(0.17058192582499485, 2.0609398061340642)","(0.17849016401921328, 1.9596311994318412)","(0.18086902729722729, 1.9081289726163686)","(0.18481288576023958, 1.7801057118350767)","(0.19196207539734234, 1.7787891070462833)","(0.19210075439944946, 1.7564286167635585)","(0.20485121284470012, 1.607684751468782)","(0.21470937360944684, 1.5569993701570766)","(0.2141222596591646, 1.6503432514180119)","(0.2514134723852119, 1.557748403108914)","(0.24202080046391686, 1.4506134209812844)","(0.3076604521195638, 1.326071297253048)","(0.22821570801545657, 1.7140368411995022)","(0.316964968922204, 1.3276197064994617)","(0.23756368389282762, 1.7040440741793306)","(0.20504818196833122, 1.6965393335397179)","(0.17371118535981622, 1.8598174391725268)"
"(0.30968805816163153, 1.3276687553756266)","(0.3704093865300473, 1.16837714147751)","(0.33478128667041235, 1.2717800424091534)","(0.28350709004555724, 1.4242292255050735)","(0.19283696675241266, 1.8252568978900867)","(0.26106141239815694, 1.476340985061099)","(0.28997693163004057, 1.4010347271205843)","(0.18377087726340335, 1.91085937368479)","(0.16965184088909138, 2.0693407035099995)","(0.16898819502886273, 1.9509790587227578)","(0.16090882585978442, 2.0981324485390624)","(0.19351696615910502, 1.7888304290920263)","(0.2109148606914041, 1.6604058303148161)","(0.20602728217813823, 1.7412447271722014)","(0.17060615579053662, 2.181413244578178)","(0.22792263722878847, 1.6835824777580912)","(0.1998254518570362, 1.8675450066459953)","(0.19085959838108232, 1.9070266734679664)","(0.1852855261539426, 1.8555961557448326)","(0.19021353848840497, 1.8504656310693495)","(0.1815751215373204, 1.9321082281738413)","(0.20245893971091472, 1.6975176199179551)","(0.19850869028963253, 1.7840341637032908)","(0.20535537387279457, 1.6776244658930073)","(0.26242351401294234, 1.475852809484177)","(0.22381753667401363, 1.6625684293806582)","(0.3272421929915193, 1.228696341737947)","(0.2738829836094017, 1.4701911954845526)","(0.3686434553835181, 1.1740387871520708)","(0.282720173174928, 1.4859108069226392)","(0.21307998849531118, 1.7243717671900598)","(0.18088410509621747, 1.8643845687254483)"
"(0.33436144839530413, 1.2832105781888983)","(0.3151132400100104, 1.2691311198206001)","(0.30310923068582946, 1.3833076246809068)","(0.26785677267028263, 1.5390813904856717)","(0.17092767285963972, 2.056352605725273)","(0.22952998828184357, 1.6899128620361001)","(0.29694032175697654, 1.4052372863488853)","(0.18713017091456793, 1.7702227758369207)","(0.1613752757129296, 2.2316323861328478)","(0.1863545367411542, 1.6995789767860634)","(0.18917527212724206, 1.855566641619009)","(0.17476654077300452, 1.9544677372709394)","(0.1956741736441402, 1.8594647903637147)","(0.19795748142537808, 1.7772029958313647)","(0.16502358185934657, 2.211032863615286)","(0.18877846238757653, 1.9042144199759932)","(0.17041939139004159, 2.110495127926651)","(0.16960611735628048, 2.0813778594867927)","(0.16718226489340107, 2.052642391454456)","(0.1716906060436151, 2.0059176649923987)","(0.19066308594331294, 1.8324598900321498)","(0.16893046569399878, 2.074028625355865)","(0.20996575626569813, 1.7253308118815045)","(0.2130560790348128, 1.6763088160684811)","(0.28058837935375036, 1.383843316838822)","(0.2077975171608056, 1.828953659002396)","(0.3307116865614995, 1.2158132074554722)","(0.3096281661190847, 1.3200783668481046)","(0.37687864129325704, 1.134636154267221)","(0.3014339829880683, 1.3504537207120715)","(0.19905443903487974, 1.7698739772424783)","(0.20348404924108937, 1.6886467880414762)"
"(0.3234813854961462, 1.3175129530045304)","(0.31270128042171424, 1.2557336625327795)","(0.3001511665091746, 1.3912142228728133)","(0.27182599586972755, 1.5308013330132049)","(0.19112880214202313, 1.8218821530750304)","(0.21933706294807492, 1.7841212313236263)","(0.26747971808566623, 1.5289627722241412)","(0.19817886919525118, 1.6473548278138062)","(0.16376052423185886, 2.177415739721312)","(0.18499707931024456, 1.7568352173319925)","(0.20268037458295035, 1.783190897795253)","(0.16695443370126778, 2.10071159145485)","(0.19658682104853029, 1.8496230073019475)","(0.18211841260893719, 1.948074634538584)","(0.16154745190878583, 2.1766590189885635)","(0.16410323767239096, 2.0778177421763613)","(0.16311812479399723, 2.1795190523659493)","(0.1646789156379762, 2.1697911842878295)","(0.16444519755195489, 2.092779628627774)","(0.1510243008583256, 2.431109746230989)","(0.18577375966922263, 1.9206366277682172)","(0.18673105750613708, 1.8707573394460493)","(0.16504704410164867, 2.256367637386326)","(0.18347711808818218, 2.086575845289253)","(0.27163914501734615, 1.4840746856104197)","(0.22317994155961374, 1.5882070096441478)","(0.2980217680305262, 1.3035503756261113)","(0.2588441758465136, 1.6236610498627118)","(0.33398616101810247, 1.2303955634768158)","(0.2243255836610035, 1.822175640868583)","(0.20917989296730563, 1.6814151342075927)","(0.21891688560908965, 1.5431446801292423)"
"(0.2922748562389181, 1.3720031792821406)","(0.323177430110147, 1.249747157653271)","(0.2884780406707315, 1.4708610403031122)","(0.27120660375197886, 1.529854448220443)","(0.22148134246144555, 1.74932794572597)","(0.22267652159424775, 1.7792386088790373)","(0.2778777375725426, 1.473691802174762)","(0.11993234633201068, 3.2144015035463873)","(0.1627046761396635, 2.177562239259041)","(0.13385446007426818, 2.4579268558250265)","(0.18490401481250554, 1.704000931995713)","(0.16455932714760516, 2.0986405881519485)","(0.21298293096819945, 1.5981228665055338)","(0.21796162720335682, 1.5552909362560028)","(0.18755777434850465, 1.756992512643718)","(0.18355755756063177, 1.7711359538913323)","(0.18276344481654228, 1.8315088785517333)","(0.18184275179044104, 1.8210819473912465)","(0.17972269325722853, 1.804420067872439)","(0.15276078741251004, 2.2970283760597225)","(0.1824077884565954, 1.9508745311843243)","(0.22880358724534536, 1.5477765006874853)","(0.1581347234283596, 2.4395716854675547)","(0.17043696260175256, 2.2732009500753945)","(0.28178418983191017, 1.41672594885568)","(0.2302605811868694, 1.6481989000711215)","(0.30235498804103395, 1.3578129840427258)","(0.20656189665701213, 1.9570112860910767)","(0.32319137755709504, 1.2734903273987415)","(0.1786342593676489, 2.200842334773391)","(0.22748868832420416, 1.6704195527130026)","(0.2192278723589523, 1.6276746153716743)"
"(0.2874344120271319, 1.3562973139274161)","(0.33769695614369344, 1.2279161141976216)","(0.2930581260807689, 1.4319534019005218)","(0.20257123141646435, 1.9295118889621934)","(0.21613958921603596, 1.8450581268176451)","(0.22646876101104954, 1.8018684401781706)","(0.27270956843212385, 1.4970785176399328)","(0.10393234037976275, 3.8779250196801582)","(0.18909502863607144, 1.9103228818404518)","(0.14660193758819132, 2.2224384107544757)","(0.18815600911548955, 1.6820068966696493)","(0.17279141504283263, 1.8966711332704755)","(0.2008505712006276, 1.685735769236535)","(0.22738302885891976, 1.438224772469658)","(0.21286488115580934, 1.5411872700247606)","(0.2015367242797918, 1.641684020752766)","(0.1979408652020372, 1.656638181400794)","(0.19784050407096318, 1.6335902888118359)","(0.2094003269368326, 1.545602205293591)","(0.2082770453642123, 1.6492366101426712)","(0.20242894598273098, 1.6709728813023481)","(0.217400291313116, 1.5445032281595767)","(0.19470291726331596, 1.8479223965762839)","(0.2318138354195586, 1.7405354736683893)","(0.2777086721429096, 1.4266684490485182)","(0.2497826156297173, 1.4775022792418766)","(0.33233324439661327, 1.2631591870023138)","(0.22387470453140096, 1.718837947235527)","(0.34742357977428295, 1.2513666598484046)","(0.23072112287985594, 1.6311205583689905)","(0.24069028387834773, 1.5461535364494816)","(0.212710916115352, 1.739094218243706)"
