Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
"(0.2032363703318202, 1.604398450416861)","(0.1788768969531939, 1.804516802272463)","(0.1524308587807639, 1.9784915917693686)","(0.19977264173384143, 1.6201021627495997)","(0.16276642382949708, 1.8922469587075517)","(0.1788444624280152, 1.9751542774040345)","(0.24912209755827386, 1.5758149667004797)","(0.18867942277165362, 1.7247787836006647)","(0.17777375599318104, 1.5745436346139947)","(0.15415021622986158, 1.842434679020143)","(0.1801445761195591, 1.5085982455404365)","(0.16954136888150997, 1.6393761172453083)","(0.16264905186150685, 1.62299473553919)","(0.16781923539004345, 1.7044946671016108)","(0.13499286513435496, 2.0246529577723353)","(0.1621652609528083, 1.7253788642130317)","(0.16319004364882736, 1.6665203147923988)","(0.17509461169242083, 1.5266107286404151)","(0.1732859544069059, 1.470498556933729)","(0.16395930353380975, 1.7394734481516405)","(0.1860277760641742, 1.4355190721414886)","(0.185029186816409, 1.360399553143376)","(0.19560399619190613, 1.3350839172186697)","(0.19973520098017739, 1.6003974257429323)","(0.1707552868957662, 1.7213376622320835)","(0.15225875177447865, 1.8588278521350794)","(0.132009767839972, 2.328301937876372)","(0.16264306579958626, 2.0391801298746546)","(0.146083367660055, 2.3061704465567754)","(0.15691609448125804, 1.9575488792504638)","(0.151843643775995, 1.976874543045714)","(0.14826181555147316, 1.943659208070711)"
"(0.1825768159563296, 1.736273754953549)","(0.1673412605139369, 1.8640118923861817)","(0.1383732962615456, 2.1225213175079123)","(0.18708568229720524, 1.6914150725140185)","(0.16316423702771982, 1.8820713544880507)","(0.185960980858463, 2.056572565610379)","(0.24650255837041535, 1.6337875559630828)","(0.17619822690375822, 1.8742825980446949)","(0.1760558880491087, 1.587326773034832)","(0.15827164910773345, 1.786331854810526)","(0.17833279772223098, 1.5496427109747497)","(0.17331428478515729, 1.6022985749005494)","(0.16111665520364815, 1.675332229639297)","(0.16641891801793673, 1.764760741527773)","(0.135402182337648, 2.0449362578979082)","(0.1637201776325942, 1.733602849404991)","(0.1613438227809818, 1.6729716041327005)","(0.16869428489367788, 1.5783917775305967)","(0.16675664061790443, 1.5372188518332626)","(0.15273617850051824, 1.8034899827136215)","(0.17588069951841873, 1.5065924702672484)","(0.1857772611598973, 1.4050566412386718)","(0.19045338748280155, 1.4140040012403299)","(0.18204046355841252, 1.735126999243289)","(0.17269405222630585, 1.7378047474894172)","(0.1587840638068518, 1.808825881283129)","(0.136101424998062, 2.282845253874816)","(0.1538522184378967, 2.0928553795199654)","(0.12934590300535118, 2.444952644927488)","(0.1455027573417567, 2.1303507120555083)","(0.15034484907832427, 1.8950017626650437)","(0.13556844653217998, 2.2121105065085684)"
"(0.18419878114034816, 1.7144450166433418)","(0.18420991054626923, 1.7649649508513643)","(0.15340101500538655, 1.9816645598121485)","(0.2016477946070075, 1.645793109012195)","(0.1665105290280241, 1.8685826188436214)","(0.20667838830171906, 1.8516267125174333)","(0.24866458279880307, 1.5997733546543882)","(0.18367685019853267, 1.8646383428444133)","(0.17690449928025453, 1.6042763634493087)","(0.16698854181471284, 1.638928662885624)","(0.1725868207519469, 1.5382633486850716)","(0.1713657238592161, 1.6266947980567363)","(0.1666259854353365, 1.6568417644173574)","(0.16479546196880057, 1.7857049339729147)","(0.13791664479131044, 1.9492239802083515)","(0.15221942145984538, 1.8163392777842964)","(0.1632865058717848, 1.6178853820124466)","(0.16397236069445362, 1.6226840856008318)","(0.1639191613922506, 1.5768708056625027)","(0.13950167851316764, 1.8922304022682497)","(0.16358043896898478, 1.6176183598796499)","(0.1869013898883334, 1.4438450501901043)","(0.18984534205821738, 1.4301908238258794)","(0.17137513228315482, 1.8684723789375628)","(0.17443647923937317, 1.6691252275255424)","(0.16502521734031853, 1.7426066089893641)","(0.14812405650876814, 2.052695728323598)","(0.1644080933191808, 1.8671000007995184)","(0.13198615540815709, 2.402935011256046)","(0.15449644143872043, 2.014855008779496)","(0.14235274156207625, 2.013807139644471)","(0.12830680433173788, 2.360669041044768)"
"(0.1767740134212831, 1.7048208068957096)","(0.1743236371415247, 1.7836445856308016)","(0.15469821788353785, 1.8115915469957644)","(0.18083140266693495, 1.7806957283639)","(0.17189575275755595, 1.8171891469382155)","(0.19840453279342962, 1.829118451568351)","(0.24704767718787018, 1.598198251826298)","(0.18664383695876957, 1.8125071813237221)","(0.17224086259396904, 1.6885592013739945)","(0.16982851765024837, 1.5362057923108816)","(0.1723321315871938, 1.4958651242419891)","(0.16325016596256103, 1.6911951823325542)","(0.17108246462555812, 1.5960243442002502)","(0.15963916905636608, 1.7988062039238)","(0.14374630980505992, 1.81731935504166)","(0.1516312199473879, 1.8027159804615993)","(0.16384327947662236, 1.5984937408139106)","(0.16463257989044325, 1.6084063514240363)","(0.16650203121734192, 1.539617586599311)","(0.13928969686888373, 1.8283623549689307)","(0.16014982768871527, 1.6110668666931283)","(0.18432498753793686, 1.4482275987916917)","(0.18059352367840112, 1.4549558353978063)","(0.16735967170544222, 1.846609437789006)","(0.18108724842628043, 1.5322036029765946)","(0.1720541628487107, 1.647072390216535)","(0.18209177657831252, 1.6042567320695873)","(0.16921422362087504, 1.736161891702821)","(0.15756807594722796, 1.9030125916519198)","(0.17058669489604641, 1.729163509217707)","(0.14746293218715978, 1.9303421552756637)","(0.13846672618969116, 2.11531884167278)"
"(0.1765789632797798, 1.632108612427401)","(0.1749457307748699, 1.6976925370000844)","(0.15351208112357584, 1.8270918485913177)","(0.17984120311493115, 1.6887899434792077)","(0.173077429850994, 1.6924620481311679)","(0.2003254393660042, 1.8041346291803997)","(0.2533697118082303, 1.5668450479967562)","(0.18935255323795938, 1.79941591572176)","(0.16806889343964967, 1.7111087302082721)","(0.17090815079700417, 1.4766507185279398)","(0.16402228003046193, 1.4930492887890008)","(0.15996395652384665, 1.6381405771973734)","(0.17003806213582387, 1.5632383601685016)","(0.15750681853189738, 1.775906609448674)","(0.15043518269420786, 1.6992055067785716)","(0.14832806041536165, 1.8182552986442257)","(0.16155936504940274, 1.57314589880234)","(0.1678243617919208, 1.5296439573688114)","(0.17353041758580293, 1.4491307142663195)","(0.1418431789691233, 1.7360719224892989)","(0.16333918191224994, 1.5722716789665705)","(0.18338548066671148, 1.4370714809491347)","(0.17939945259868909, 1.4792057657439783)","(0.17157225950601634, 1.8013834921638838)","(0.18196263084090097, 1.5245766510122893)","(0.1756359785173192, 1.5241940405274854)","(0.18919570184063972, 1.5066710239486873)","(0.17356988427531675, 1.7581869767528384)","(0.16855074072669537, 1.7540148515526157)","(0.1773787936975158, 1.6628865490631164)","(0.15643982323970976, 1.6703283709975656)","(0.14405331785149414, 1.9781324970004441)"
"(0.16849994439026134, 1.7010072657322883)","(0.17282107717989212, 1.7180041488065227)","(0.15562031704762722, 1.8334660812762578)","(0.17788707420197342, 1.709660572057995)","(0.1747861636749841, 1.6580935192378128)","(0.19688934195684757, 1.8304953213612967)","(0.24401234692369642, 1.5992295892313078)","(0.18001631680279156, 1.8946460858957843)","(0.1518630139207577, 1.8718826046514925)","(0.16114599825299322, 1.5587173213827294)","(0.1489228957022972, 1.637676091269604)","(0.15351173474208635, 1.695032724693766)","(0.16357244580986358, 1.6337529439940104)","(0.15512544795012345, 1.8002706292016109)","(0.13514410960671436, 1.8984721509396518)","(0.1434137638855985, 1.9090118586618525)","(0.1529551161996811, 1.6812555273486915)","(0.16301789749649045, 1.5983199145165286)","(0.16544798717760426, 1.5331094131273286)","(0.14336328661195125, 1.7287302392194208)","(0.1570872232204512, 1.6627868542436945)","(0.17338315933118867, 1.5237882435880223)","(0.17865860116174131, 1.5179173843176028)","(0.16195107183698523, 1.839635017648131)","(0.17707769431402143, 1.54683049480238)","(0.17796815521477446, 1.526113103145446)","(0.1890594708884049, 1.4973166445186465)","(0.16721205843441458, 1.819208317109471)","(0.16358117579485942, 1.7795596678823802)","(0.16763770608294468, 1.7425878516307234)","(0.16013190257558915, 1.6156526523355694)","(0.15439505745104837, 1.8108356190893102)"
"(0.16711245680579873, 1.6806659716481853)","(0.17547481888594643, 1.692631343317495)","(0.16096260311190708, 1.787862073680579)","(0.18084903069469688, 1.6812012316055216)","(0.17811564093173263, 1.6276906478336204)","(0.1983500943588099, 1.8017091661119724)","(0.24415856194292732, 1.6085933138583486)","(0.1784086041462213, 1.9102922432351646)","(0.16580445683415193, 1.7244149970255898)","(0.16302329604548774, 1.5407869767637696)","(0.1491077531194552, 1.6246968770860466)","(0.15612710541211966, 1.663395907651251)","(0.1644152817494969, 1.5809203394401885)","(0.15584080954444157, 1.780601625667385)","(0.13550890502191806, 1.9193923935620032)","(0.14243116410853424, 1.8891144448345656)","(0.15369263090006458, 1.6944013820020507)","(0.16201282275758352, 1.584161414617258)","(0.16604278420789279, 1.5065718490840316)","(0.1463069555621123, 1.7071585786726886)","(0.15955682568605262, 1.6198081872240553)","(0.16792353977574068, 1.5832173491305188)","(0.18424425131681224, 1.446755150796566)","(0.16368990047257992, 1.8121326084071807)","(0.17734534106189073, 1.5280725238580888)","(0.17869469576657607, 1.5159896971730675)","(0.18521229015200447, 1.5123793383619226)","(0.16675830133256583, 1.7506894208799082)","(0.16822126312353936, 1.6808313098222432)","(0.16860391585868337, 1.7192432104922892)","(0.16725918764305606, 1.527549208149903)","(0.1529429190926025, 1.830701943110859)"
"(0.1690674796419237, 1.6493885024238335)","(0.17769384676717864, 1.6766079108988223)","(0.16632215442823145, 1.8115101146429748)","(0.18266176090842376, 1.6654125861208129)","(0.17610880888232167, 1.6052981618932862)","(0.19928131939326874, 1.8196226293628825)","(0.26631740784665736, 1.519578933667144)","(0.1820546747059873, 1.8905675757894342)","(0.17209142066688898, 1.7544254943489914)","(0.167270297002536, 1.5422905006796157)","(0.14990912152184693, 1.6992851405511487)","(0.1606386770240297, 1.6843225315913897)","(0.1668728578579383, 1.5712873940607013)","(0.157437247824448, 1.8253148118723592)","(0.13716436185163644, 1.9810005166295077)","(0.14089470841724153, 1.9455993878432434)","(0.15174303044341908, 1.750954171357484)","(0.1578325939035894, 1.6723217154994334)","(0.16520359689813566, 1.5400282301985795)","(0.14931112556971, 1.6599674671669549)","(0.15921738483751988, 1.6460004493980915)","(0.1695454947000887, 1.6108455493379403)","(0.18004794462553017, 1.513261167847828)","(0.164517573268591, 1.8525018716390542)","(0.17620596479069348, 1.535675184065665)","(0.17620851080115243, 1.530704733472715)","(0.18654485627640338, 1.4765262892120508)","(0.1684100160887379, 1.6610450325002144)","(0.17288567845009523, 1.5742697114422197)","(0.1731430478067012, 1.6327929354921844)","(0.16904822490865645, 1.4974833632414886)","(0.15973905726281712, 1.8306341062793787)"
"(0.17001439227980034, 1.6484035000299873)","(0.17612494674334578, 1.6671015043056918)","(0.16671239107645272, 1.7967127666016958)","(0.18401948985143496, 1.6648248551539457)","(0.1767525948674089, 1.6747597835868926)","(0.19211291779783254, 1.8617637857488953)","(0.264869036624495, 1.5212014827261582)","(0.17985303286536228, 1.8994437151518089)","(0.17175525526167884, 1.842617728891985)","(0.1674731312530227, 1.5433784764069816)","(0.1494234712345534, 1.731094238307569)","(0.1635689711330068, 1.6818537694574516)","(0.16717001772118337, 1.5538772286442084)","(0.15664437129186046, 1.837490864232666)","(0.14041032689337682, 1.939050171460363)","(0.1423550895539145, 1.8804036761096534)","(0.15615423734840453, 1.6872201045847153)","(0.15770902552132698, 1.643096407952994)","(0.16462514386537766, 1.516282260023175)","(0.14802262899643862, 1.6481965833259395)","(0.1563297252533316, 1.6120408823665053)","(0.16712768574265754, 1.607295975648912)","(0.16918663834538777, 1.5324756619357411)","(0.15690197529178676, 1.8635500785072814)","(0.16727247033499287, 1.5658615502882667)","(0.16391114124656603, 1.5827933851130953)","(0.18033356887494456, 1.4610517952351898)","(0.1717260295617826, 1.6069438941256795)","(0.17851032049617163, 1.5557851231374058)","(0.17712719342494493, 1.6245314714212935)","(0.16879792959316758, 1.5030781917934462)","(0.16330110720044796, 1.8370628265515205)"
"(0.17493809323566537, 1.6464378817166925)","(0.17707415381123823, 1.651470813163757)","(0.16342882061502828, 1.8423560690956753)","(0.1834240026800115, 1.6861496666709828)","(0.16854659040989142, 1.7325538482861718)","(0.18737017775735149, 1.898139357633613)","(0.2592901692510501, 1.560277198072194)","(0.17567959519015958, 1.9472394969594318)","(0.17484210549562199, 1.8042594544515067)","(0.1652769558217391, 1.603947411367526)","(0.14487314124922862, 1.7341614350586934)","(0.15743793032657877, 1.7079157710372093)","(0.15933909703400068, 1.7268546569425467)","(0.15042101236022165, 1.9072575497822668)","(0.14069170209195744, 1.940429191123915)","(0.13631774071572703, 1.9808340502508703)","(0.15089045187717695, 1.773934547777384)","(0.15089678627863687, 1.7680971709843512)","(0.15801580377753374, 1.632598120650393)","(0.14447816627424978, 1.7038967946016366)","(0.1499649529256001, 1.7023780878267332)","(0.1632425029651918, 1.7563380920423282)","(0.16924747265728232, 1.5583890664575086)","(0.15676099186938602, 1.865374993549464)","(0.1675619198739249, 1.5698365930404794)","(0.1603457041911399, 1.672947670562878)","(0.18057142987115343, 1.4535133111727456)","(0.17386204246672352, 1.6294050548737042)","(0.18448254767290537, 1.5713415494052967)","(0.18060172404737646, 1.606538076422794)","(0.1705644173462151, 1.5136041657728498)","(0.16098327545468732, 1.9204354625985856)"
