Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
24,24,14,20,30,18,27,19,35,25,27,35,31,28,28,26,22,24,24,22,20,32,24,24,25,31,37,19,29,25,30,28
28,30,16,28,27,18,30,22,35,33,34,32,29,29,27,23,27,27,29,29,27,31,29,31,24,32,39,19,35,32,30,31
22,24,14,26,20,10,20,22,33,33,32,29,31,30,26,22,30,30,33,35,35,31,35,32,37,35,43,33,51,45,34,33
31,33,23,27,27,21,22,26,34,27,32,30,36,30,30,28,26,34,28,31,31,36,29,25,38,30,36,29,51,42,34,35
36,40,36,36,31,34,29,25,29,25,35,37,39,31,29,29,25,37,32,32,32,36,30,32,34,30,36,30,50,42,30,34
25,51,31,39,28,23,30,21,25,18,32,29,22,27,23,23,25,31,37,30,32,29,32,37,35,32,39,37,47,48,29,26
24,46,30,32,31,14,33,21,30,14,30,26,8,30,28,30,26,30,34,26,30,32,32,32,36,30,37,32,40,38,28,27
35,41,33,33,34,23,35,18,33,22,36,31,18,35,35,35,29,33,35,30,37,33,35,31,39,34,41,35,47,36,31,30
39,45,29,37,29,29,34,20,36,28,34,36,30,40,33,33,31,29,29,31,39,25,35,39,42,31,43,45,57,43,35,31
37,49,33,35,30,29,33,31,30,28,28,32,30,32,28,26,26,24,24,25,30,28,27,39,35,29,39,43,47,45,29,37
33,53,37,39,25,25,23,26,16,23,28,19,24,27,25,20,24,21,24,25,19,26,26,27,27,29,33,31,41,35,27,34
32,50,42,41,20,26,26,20,16,22,30,24,28,32,26,26,30,24,22,30,22,25,31,26,31,25,39,32,46,31,33,27
38,50,45,42,20,37,38,31,28,26,36,33,34,31,29,33,35,34,27,29,30,32,27,32,42,30,43,38,48,35,30,31
41,51,39,41,19,33,33,29,29,27,35,29,28,25,27,31,27,37,30,28,30,33,25,30,40,33,45,32,46,33,29,37
42,50,36,46,28,29,30,26,29,26,32,27,28,26,30,32,26,34,35,32,30,35,31,26,36,33,47,32,42,36,36,28
40,42,42,42,35,30,31,30,29,34,37,23,28,25,29,29,29,31,31,28,30,28,34,27,37,34,42,34,45,38,37,22
39,39,39,29,31,33,33,31,22,37,35,28,22,25,25,27,25,29,22,25,31,22,34,35,39,36,43,41,49,39,37,27
41,45,39,35,23,35,36,23,24,23,35,35,23,28,29,29,25,29,23,27,33,23,31,39,38,39,39,47,50,43,30,35
36,42,42,42,22,28,25,25,27,11,33,33,23,25,29,27,27,29,27,29,35,25,27,39,35,38,34,40,48,42,28,35
36,50,38,40,21,26,20,26,26,14,23,32,26,24,27,26,30,29,31,33,35,26,31,42,41,35,44,33,43,37,37,34
32,47,26,36,15,26,29,21,23,29,29,25,25,23,29,23,29,27,29,27,31,21,29,28,29,25,34,22,34,30,28,25
28,40,18,38,24,22,30,24,23,35,30,21,21,28,29,24,26,20,19,21,29,15,32,24,19,26,22,15,30,30,24,21
35,42,27,41,28,25,31,16,23,25,23,19,19,27,23,21,21,19,19,25,27,17,33,36,31,33,36,29,48,35,30,19
31,27,25,33,22,23,33,13,22,22,20,20,18,18,18,18,20,20,24,25,26,34,28,36,36,36,42,26,46,32,28,12
17,20,11,22,27,12,34,17,30,22,20,24,24,22,22,20,20,22,26,24,30,39,26,27,26,26,33,20,29,30,31,23
23,28,19,29,29,13,28,23,31,22,20,24,27,28,20,18,16,22,25,23,27,32,22,25,24,22,31,27,31,27,37,28
