Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
30,35,41,36,20,35,30,12,26,40,38,10,29,32,28,32,34,27,33,37,41,29,41,39,44,42,26,30,44,12,30,43
31,34,40,34,20,35,30,13,25,39,36,11,28,31,29,33,36,29,35,36,40,31,41,38,40,42,28,28,42,18,26,41
29,38,36,31,25,36,31,14,26,41,35,12,26,30,29,34,34,29,33,34,41,27,45,39,33,43,34,25,43,24,30,42
29,41,39,32,27,38,34,14,24,40,36,15,24,30,32,34,34,32,30,34,40,26,41,38,35,42,38,26,44,24,31,38
27,40,35,31,25,35,33,20,24,39,33,19,25,30,31,36,34,34,34,35,41,30,41,37,39,39,38,27,43,26,28,38
27,36,39,36,26,38,32,20,24,39,36,22,27,31,31,38,34,35,41,38,43,37,44,41,41,39,41,29,44,29,31,37
26,38,44,42,29,45,36,16,25,43,39,25,24,30,29,38,34,32,38,37,40,36,44,40,41,38,38,29,42,32,33,33
28,42,44,46,33,47,39,15,29,44,41,25,23,29,27,35,31,32,38,37,41,36,44,41,43,38,40,31,45,37,36,31
27,39,43,41,29,48,42,15,30,45,41,27,24,29,29,35,30,30,38,36,38,34,40,36,38,37,37,29,41,39,31,29
30,42,42,39,30,49,40,14,33,41,38,30,27,28,30,36,28,32,38,39,40,34,39,39,38,35,38,32,42,40,30,26
30,42,39,39,31,48,39,12,35,37,33,33,28,29,34,37,29,32,36,44,40,34,40,40,42,37,44,34,40,40,30,26
29,45,35,39,30,50,41,10,31,37,37,35,28,31,37,37,30,33,35,45,39,34,38,39,43,31,41,31,37,33,29,23
29,48,37,42,27,51,39,11,33,37,38,35,31,33,37,35,29,31,37,46,39,37,35,41,47,27,37,29,35,27,27,24
29,44,29,40,25,50,40,13,38,37,37,35,35,33,35,35,29,33,41,45,39,37,35,43,46,26,36,25,33,27,26,24
31,47,32,43,28,50,41,10,34,37,39,35,35,35,37,36,31,31,39,44,37,33,33,44,43,27,35,23,31,23,25,22
29,50,30,41,29,49,43,11,33,38,38,36,36,34,34,36,33,30,34,44,32,26,27,41,39,25,31,18,27,20,23,23
31,51,27,38,32,46,38,12,30,35,37,37,34,35,36,35,31,31,37,45,35,28,30,44,38,26,32,17,24,15,20,25
27,51,22,37,27,40,36,14,29,36,36,37,37,35,36,36,33,31,35,43,31,25,29,39,33,24,27,11,19,9,16,21
25,51,16,36,31,34,30,16,29,35,36,38,36,36,33,34,32,31,34,44,30,26,28,42,30,23,25,9,15,7,19,23
23,49,15,38,28,32,29,20,29,37,37,38,33,35,33,33,33,27,32,43,29,25,29,40,29,23,23,7,15,7,18,23
21,51,19,40,26,32,31,22,31,37,39,39,31,37,35,33,31,25,31,39,27,23,29,39,23,16,15,3,13,5,17,22
24,52,21,41,30,33,30,21,36,40,37,38,32,36,32,36,31,27,33,37,27,25,28,38,24,18,16,6,17,9,18,23
30,52,18,40,31,32,34,24,38,42,40,40,29,36,33,37,31,27,29,32,22,22,24,36,18,18,18,8,16,10,20,20
27,56,23,40,31,34,35,23,35,38,38,38,26,34,34,38,32,22,28,34,22,24,26,33,18,22,16,10,15,12,20,22
27,52,22,39,31,35,36,25,36,38,39,37,26,33,35,39,33,23,27,34,23,27,27,34,19,25,17,14,20,18,24,23
30,52,24,38,32,34,32,24,35,34,36,35,24,32,38,38,33,25,29,34,25,31,30,34,22,29,23,17,24,21,26,21
32,52,27,40,32,36,36,27,38,38,40,35,27,32,40,40,36,28,30,35,25,32,30,34,26,28,21,21,23,25,27,22
34,46,31,39,34,42,38,30,37,38,41,36,29,33,40,38,37,28,30,34,28,32,32,40,32,30,22,22,24,26,32,24
34,45,35,40,33,46,41,32,37,37,40,36,28,32,41,43,38,31,29,30,30,31,34,38,34,30,24,24,26,28,32,23
38,46,36,40,34,48,44,29,34,36,42,34,26,30,40,44,38,36,31,31,33,33,33,39,34,34,26,26,28,30,35,25
43,49,34,42,37,51,41,27,32,37,42,33,28,26,34,44,40,36,32,32,36,33,34,42,40,37,29,31,33,33,38,25
40,51,35,41,32,53,46,26,30,35,42,34,30,26,33,45,41,34,30,34,38,30,36,46,38,36,28,30,31,31,38,22
36,46,38,40,31,52,46,24,30,34,41,33,33,27,33,45,45,37,35,39,42,30,38,50,42,36,26,30,31,30,36,24
37,44,37,41,29,49,44,25,31,33,41,35,33,29,31,45,43,37,35,39,43,30,38,52,42,32,27,32,33,31,36,20
36,44,38,40,27,51,45,26,29,34,37,33,31,27,27,39,39,35,35,37,44,31,38,56,40,30,28,32,27,27,35,23
34,40,37,40,26,54,47,29,26,37,39,33,30,24,22,40,37,35,37,40,48,31,38,54,44,32,26,34,30,30,36,26
32,40,39,38,23,52,46,27,27,34,34,34,27,26,20,40,35,30,35,37,47,29,35,52,41,33,28,33,32,32,38,26
32,41,37,36,24,48,44,24,29,32,33,34,25,23,17,39,31,31,35,39,47,29,33,49,37,34,30,34,34,33,36,27
35,44,33,38,22,48,43,24,28,33,33,32,24,22,17,37,32,28,35,43,46,29,33,53,36,33,33,33,33,33,35,26
33,43,29,36,24,42,37,24,30,31,28,34,28,24,18,34,30,26,36,42,46,29,34,52,34,30,34,30,32,30,38,26
32,40,27,32,23,40,40,28,31,30,28,32,26,25,23,33,29,27,36,42,46,25,34,50,28,29,35,28,32,31,36,27
31,40,28,33,27,39,36,32,32,30,28,32,24,26,25,31,27,28,36,42,46,28,32,48,32,31,35,29,34,34,36,32
37,40,29,36,29,41,37,33,29,29,28,33,23,27,29,35,27,29,39,43,47,33,35,47,30,33,39,33,38,43,39,35
36,40,27,37,31,40,39,34,27,33,31,31,21,25,31,33,29,27,35,41,46,31,35,44,27,33,40,34,38,39,39,39
