Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
"(0.26234583739704953, 1.4384943227453646)","(0.2560765631318904, 1.4665878285993335)","(0.30125610989806456, 1.4258315202236145)","(0.18600855423108478, 1.8484333071850259)","(0.2061937625386648, 1.6115904396124212)","(0.2917921679992514, 1.4285084418896414)","(0.2796400228436899, 1.4539616374394961)","(0.19476958230945082, 1.9277694600128878)","(0.11510453821520109, 3.053046356786746)","(0.21157843071250299, 1.8381907518507694)","(0.20680015711320698, 1.783329575163264)","(0.19902396842434467, 1.7356254780748142)","(0.16400279608737453, 1.9935819936778048)","(0.17990087247708972, 1.94292967186647)","(0.21085788712960524, 1.6860574051236108)","(0.22861926539494548, 1.5171499003443334)","(0.22271153736464797, 1.60903493503555)","(0.2075675665572377, 1.6202328376168398)","(0.1959373832990817, 1.650010904911013)","(0.22975828492667005, 1.557143375937451)","(0.21027257799780588, 1.6291946209256802)","(0.15844160820263695, 1.9373874127916277)","(0.2039822878291088, 1.7550134897036895)","(0.250794844066834, 1.5688008964444653)","(0.22946972285423586, 1.6609959718986753)","(0.16137858545095196, 2.1047154460407747)","(0.2494843553664653, 1.5263838932126168)","(0.26799925774486955, 1.478242035023134)","(0.26584629316664404, 1.5064361734625933)","(0.2823644435302733, 1.3967977667217732)","(0.23071016232912842, 1.512709621795759)","(0.20996484584489453, 1.5849902502225677)"
"(0.19640133358539846, 1.8304870941943803)","(0.20770853251344518, 1.7730890671770265)","(0.22329974958040827, 1.8903805326669536)","(0.17289786306927066, 2.0271319264770646)","(0.14750658960800703, 2.2833899433747273)","(0.2979466586443906, 1.3919732813479486)","(0.2408497072354043, 1.6423749207816443)","(0.18773258474142243, 1.8543487074571359)","(0.15989946193659133, 2.0762390312701986)","(0.21329112095957672, 1.8947816064500795)","(0.19300369755640345, 1.8420452728586694)","(0.17056412379930566, 1.9771266105303482)","(0.18652345651304772, 1.7520785151834743)","(0.16983877404389014, 2.0865985575395336)","(0.19853594177461145, 1.8416817431491785)","(0.22375333454436097, 1.734151757035695)","(0.23043984231885947, 1.7221530727245729)","(0.20530279389979583, 1.7950778277996913)","(0.19884820454682395, 1.7168010388012902)","(0.1910965184981512, 1.9528162573173955)","(0.21391577599236897, 1.7108376105396637)","(0.1754102732599543, 1.8304138665323202)","(0.2259088129541229, 1.6163536213930625)","(0.24329966205696585, 1.6348816074947383)","(0.19889016192322012, 1.9491242154236281)","(0.1834847958427104, 1.9038535816913034)","(0.2022124415422951, 1.828522463663318)","(0.21515917716400457, 1.78761244881387)","(0.22487328565288048, 1.6884876759239313)","(0.21737247616563932, 1.7616734338093443)","(0.1900626534482971, 1.8524787411603976)","(0.18680622447467446, 1.73523631046886)"
"(0.17738722382911526, 1.8664907582031274)","(0.20914117481290964, 1.8080115733599966)","(0.21528548537021014, 1.9327563222500297)","(0.15571216550481065, 2.209892969018249)","(0.13006427747328908, 2.4877647159321703)","(0.2783333179747064, 1.4726670259444212)","(0.23788817635709514, 1.6482493443632387)","(0.15952760578185035, 2.097946794496854)","(0.1381889555902449, 2.329776822406781)","(0.23139462908798164, 1.6987160616090842)","(0.18710063874622399, 1.8981145476812815)","(0.14026174004290196, 2.4860364993381956)","(0.17901404968935933, 1.8746435113802549)","(0.16175092123017717, 2.2367554589274716)","(0.22833392382555767, 1.629320413613214)","(0.21527809765157524, 1.8695360018378886)","(0.2268128805913799, 1.7980713497084913)","(0.19580913663943375, 1.963719832677677)","(0.18356857305867247, 1.9570155220076164)","(0.1554821577661993, 2.447017723289964)","(0.16683334176132233, 2.1929814172514646)","(0.1651800501225235, 2.0571376042925014)","(0.14704941960076, 2.389156222127219)","(0.20670842038187737, 1.9195298744169227)","(0.14086160859260763, 2.6450628152953644)","(0.1516910394407601, 2.3623276682536964)","(0.18358076878460092, 1.9478061777682754)","(0.1687607339602056, 2.1904106521896964)","(0.1995101535098295, 1.806593455544793)","(0.19447271544247136, 1.9182333037540167)","(0.15995575782036298, 2.0909656740219957)","(0.1475916976279122, 2.1585614388988903)"
"(0.16354389604202704, 2.2162996811779228)","(0.18455128975192303, 2.1019159316603995)","(0.1923825738523986, 2.129046589487038)","(0.13145844069122206, 2.6938270903688166)","(0.11733956454466642, 2.6718951812040053)","(0.2645545286341912, 1.5438761160688868)","(0.2531741513862238, 1.6639629735090558)","(0.16512568203508732, 2.1161595623679106)","(0.08769633896997622, 3.8641926808757754)","(0.19796407590234977, 1.806880883772144)","(0.16971269555391244, 2.1666540499111298)","(0.10678481001537976, 3.297777404173399)","(0.13370484206601096, 2.622904784070327)","(0.12515023050822652, 2.916621400256807)","(0.18858678634860349, 1.926398415817574)","(0.15921855598636706, 2.3173356369943803)","(0.17359743650305173, 2.204948113210087)","(0.15060407151504132, 2.4382408612859994)","(0.13839545112201423, 2.6069651019611015)","(0.14054935997265566, 2.542421865243118)","(0.14504550386072185, 2.550317464784309)","(0.1306963345209603, 2.747766610257671)","(0.11623538043338862, 3.0296767731264813)","(0.20077459920838833, 1.9195457000843215)","(0.16150438957176372, 2.3266610768681244)","(0.1386978192767894, 2.622636320413419)","(0.18272185874350463, 1.919991290874029)","(0.18454505413702385, 1.9454866366117833)","(0.1779070755157104, 2.126668304439548)","(0.17892100126990756, 2.11025938016936)","(0.14374644274892728, 2.2559064839330856)","(0.13343862806684406, 2.517247568466975)"
"(0.20080107591301466, 1.9161174202758924)","(0.178785837381868, 2.128019562075143)","(0.14608638201477991, 2.8150129761165967)","(0.1563047085614586, 2.421889482083612)","(0.1417872782579081, 2.368796060623995)","(0.1789025481362135, 2.2505673711990064)","(0.22296013945837942, 1.8875799224859469)","(0.2281436419055479, 1.6949680310337139)","(0.06847534821429929, 4.620676243728771)","(0.22971510130820894, 1.7166942081312457)","(0.1764880888368656, 2.2716599590716537)","(0.10790694440873984, 3.3831915226596285)","(0.1256942540210592, 2.7632283552790997)","(0.13122340617001116, 2.9956694054101303)","(0.19014833545050341, 2.127880195823088)","(0.178568969852719, 2.0799554349473834)","(0.20296849050473528, 1.833611486106633)","(0.16739917607540306, 2.1723739457153104)","(0.14081592862546424, 2.5908854831888575)","(0.16150969404495247, 2.189905720986777)","(0.18623988962993288, 2.0889326106938224)","(0.13278583697119925, 2.7835761664545497)","(0.15958448236556821, 2.366718968018633)","(0.22574778513766705, 1.7796913686051983)","(0.19276172734065472, 2.127720287839269)","(0.18834323404882763, 2.0294442055054915)","(0.1775343703712963, 2.160414224832947)","(0.13479120892135626, 2.9338527657862277)","(0.13453258075043395, 2.931293876165608)","(0.15686867382198655, 2.5856284030356274)","(0.16668309258464306, 2.1806161527954173)","(0.1455154385119168, 2.4626000650413253)"
"(0.21671707208299026, 1.7875896795549138)","(0.2026445713132079, 1.8625809727225724)","(0.20592814989266367, 1.9863338898867233)","(0.18264783886972785, 2.122177239567158)","(0.161749565017961, 2.2515146647323854)","(0.21228405075869752, 1.902495032590739)","(0.23488573710029784, 1.7562379100177476)","(0.25526663159008206, 1.595046316401381)","(0.09296723825530179, 3.7055889037649745)","(0.26123874945058145, 1.5594175101288144)","(0.20622002371899228, 1.9468292627108172)","(0.1401126671910442, 2.6822219595607772)","(0.13134333307680365, 2.7186485334497554)","(0.1526796878175475, 2.61017811963792)","(0.22404630786660745, 1.8416873042629025)","(0.22699896434261851, 1.709996428257748)","(0.2359937384477379, 1.6033967005438072)","(0.1832647671794638, 1.9826264491501215)","(0.15887554617395672, 2.2134795651988624)","(0.15412625772102567, 2.114071156129916)","(0.16603567591512422, 2.131908811129179)","(0.1240484082956701, 2.989054446150394)","(0.17138649029757475, 2.182398152730764)","(0.21801640924480514, 1.8442564449670813)","(0.19458354628622818, 2.1282265138796763)","(0.16377445884442313, 2.333020683873142)","(0.202491485266475, 1.9401670725130713)","(0.18071606386776967, 2.2507352049077176)","(0.14631770466151167, 2.7389880482707554)","(0.1926627360507538, 2.0847353836242)","(0.17316383571044397, 2.1715478692002774)","(0.1441373510867882, 2.519963807711287)"
"(0.19825729477533255, 1.8922663561840654)","(0.21863926690936245, 1.7337465329971875)","(0.1601974185357797, 2.4845455653483612)","(0.16201627346049274, 2.1602072064272817)","(0.1263719603314565, 2.713645011600599)","(0.2108671414231757, 1.9354727145520942)","(0.24517322966844501, 1.6700644139381615)","(0.16685251911373794, 2.2968268622910024)","(0.11256263650574276, 2.878380158716715)","(0.2128224165481491, 1.8000183774425926)","(0.2043746582030248, 1.7918026338139474)","(0.1808883868629966, 1.7910497923944395)","(0.14158144087758304, 2.43144028950296)","(0.16169451623300293, 2.1929503101764425)","(0.2247062386552782, 1.6559848605281422)","(0.24354417357614916, 1.5274559965567236)","(0.24506934394855243, 1.5328863354577387)","(0.19422212337361855, 1.8298035500780907)","(0.17087945748947156, 2.016376263688015)","(0.1645236133915463, 1.9111369914978256)","(0.15747828086831722, 1.990111500493602)","(0.11862887825369564, 3.002333115604451)","(0.1450968923570922, 2.3842590517579967)","(0.18510872348455248, 2.0132398575281814)","(0.14951776790968208, 2.333498973371852)","(0.13334826232373714, 2.5970765422340367)","(0.159635849235779, 2.248110825181273)","(0.15128692464729132, 2.319130693784717)","(0.16417407243707532, 2.2950472927779244)","(0.16481250552913662, 2.2588862347051917)","(0.13429566095783071, 2.646518558551526)","(0.1398403043756116, 2.4613904530676765)"
"(0.17765891986426377, 1.9457127820603888)","(0.220250481844497, 1.7166438455378452)","(0.15242310445940035, 2.4609723185670553)","(0.16246389727559407, 2.040154403393852)","(0.1544080959734952, 2.08132691648152)","(0.2278731476610744, 1.8929162708857645)","(0.21765702089872038, 1.8719584499998274)","(0.15946307524113656, 2.3237700022917185)","(0.12074031689215016, 2.512184982630525)","(0.2115405642787737, 1.8514334305524867)","(0.17460947322707085, 2.1387895810133353)","(0.14624175106572207, 2.1132996123179573)","(0.1368991706770546, 2.46031367375981)","(0.15796269406891872, 2.216820695553697)","(0.19741525972589652, 1.8900396768115475)","(0.24698744462835664, 1.6129307630775602)","(0.2621794383130592, 1.5691403756357265)","(0.20099004079871644, 1.9260635196263949)","(0.1694074871853726, 2.216438204817077)","(0.20224255091179483, 1.8220712986006367)","(0.16790562338002685, 2.180338434065027)","(0.12279242975171491, 2.851150897253032)","(0.14408217884586386, 2.50421157933514)","(0.18382900599323504, 2.0970933846615845)","(0.15241855491008197, 2.325301278895777)","(0.13169614385107825, 2.5665501510129016)","(0.16184929857479993, 2.2580919156105)","(0.170792286339259, 2.1466992068722712)","(0.13751189128793948, 2.5622551734001378)","(0.15951642747363312, 2.3664688007128976)","(0.12985317765268528, 2.4791818471248135)","(0.12587453613893343, 2.6991535483269056)"
"(0.15721742054632334, 2.2065245797419757)","(0.1675110582937127, 2.141951054491212)","(0.15667441767209703, 2.6019574569706294)","(0.12010264556006232, 2.862349008034272)","(0.16390012157862896, 2.0109226620066756)","(0.2686118428517719, 1.6273918569830848)","(0.2104589477261881, 2.031005748380721)","(0.17293930129917065, 2.2596500959770056)","(0.14280469506967822, 2.3718663700454674)","(0.21319417440308672, 1.895779238292823)","(0.16273414360320845, 2.3096430970594732)","(0.1283251674467442, 2.6704867804866814)","(0.1309671749169148, 2.680628024624969)","(0.1509347248074707, 2.4940154333085793)","(0.18440021376311266, 2.087189124552406)","(0.2110613091691601, 1.9832538140958873)","(0.2433134885939386, 1.7094632997095136)","(0.1844359289261528, 2.2203826910230955)","(0.16378427969908388, 2.4214452351455127)","(0.1895290161830753, 2.0962934917701896)","(0.12761559937884717, 3.1902955203884686)","(0.1541809018698746, 2.424691008665937)","(0.14845558950540402, 2.563075076917786)","(0.1584238234141606, 2.643031166812373)","(0.14315002365781787, 2.6542701843819976)","(0.13332125242021126, 2.6404643372379937)","(0.1702183491459098, 2.172934345978712)","(0.15577478525650656, 2.5266533804473688)","(0.11306626282519279, 3.197844158525004)","(0.1396381745143024, 2.7015338409136866)","(0.14332968692469372, 2.2907285245144036)","(0.14215718992706267, 2.4404236192591555)"
"(0.14318361788867245, 2.4721454955646935)","(0.10286469854855426, 3.693293600630791)","(0.0834579814653679, 4.941539463355113)","(0.08917002876547091, 3.8346417585018773)","(0.13140457270909703, 2.5619393193663225)","(0.15347794007425952, 2.710667313462662)","(0.16275122954403098, 2.5388286747912296)","(0.11915239874199945, 3.3005506394307713)","(0.13066635339413452, 2.6399803007078324)","(0.17919720301090022, 2.2116440909793726)","(0.16722120356136325, 2.172994248519277)","(0.1231995978431887, 2.8405557824519727)","(0.1365902007782656, 2.5070529261333188)","(0.13426308686406568, 2.6254386876424607)","(0.17349318733238245, 2.0730521657991123)","(0.165457776690051, 2.2828469252881147)","(0.1699438894558995, 2.1778857094256163)","(0.1440340809999039, 2.458103797842067)","(0.14335614229031057, 2.297446526409807)","(0.14828420812387158, 2.331076091487152)","(0.11772781640339004, 2.8392045121774454)","(0.18574468112997042, 1.9247130390484757)","(0.15606314904502835, 2.2378421675995623)","(0.1477818980349197, 2.435846840678538)","(0.09326796867770497, 3.7647757319656643)","(0.14924839701971138, 2.366390515037705)","(0.13033835327226845, 2.6262873437388627)","(0.07573172519135313, 4.74837236300365)","(0.10552439669235046, 3.489392752538453)","(0.11862417861691715, 3.1292403829982667)","(0.17256599772860076, 1.9496548823275024)","(0.18827347637596745, 1.854737053826209)"
