Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
"(0.24697464785017983, 1.6133445677463714)","(0.2775305423770073, 1.4797768238627307)","(0.2774730383901067, 1.571797641886992)","(0.3010525714509845, 1.369209778544685)","(0.2209818023360466, 1.8831323206764328)","(0.26975873960816704, 1.5314977266221061)","(0.31179333854671937, 1.363931725810171)","(0.1659914667529505, 2.447456489262648)","(0.13125417173313061, 2.6824149697744866)","(0.18511850479654304, 2.142013226181779)","(0.18079134749410194, 2.1369532455055933)","(0.1349344855112537, 2.713187780208381)","(0.1594355867919891, 2.334376175787429)","(0.1407978721503123, 2.518113403317282)","(0.16750867507109563, 2.0967863852645716)","(0.18606805047288477, 1.9674780427638523)","(0.1858614096891412, 1.9706756393896816)","(0.15938960197558033, 2.2075723575891963)","(0.19762751663127034, 1.922133657693182)","(0.21322807095754776, 1.7857963007167499)","(0.25434624337065176, 1.593896111453218)","(0.23594287786460214, 1.7443324715332598)","(0.2841614624815342, 1.5078413753508368)","(0.33489655773535804, 1.2643860728343759)","(0.25496435652951827, 1.6341710164533503)","(0.2590209911892536, 1.5465399140074803)","(0.25835162346956436, 1.4968532344847303)","(0.2465206541196499, 1.6374245169363644)","(0.2723724291034413, 1.492063659034479)","(0.24824520275621215, 1.6259591709589427)","(0.22824629015749298, 1.728517379396638)","(0.19813889979659866, 2.0600207362193848)"
"(0.2520039151759513, 1.5861238900920382)","(0.27878644544638986, 1.4708535698432146)","(0.2922933915955867, 1.469120892604339)","(0.30328225679976034, 1.355244445382814)","(0.21568241020378046, 1.9186458827045176)","(0.2564165888230962, 1.5848105080905879)","(0.3174595897539193, 1.323694797040382)","(0.1668723852216606, 2.4359749047858843)","(0.12709530704920513, 2.8403356012977516)","(0.18497249291022919, 2.114550281117143)","(0.18392714882691716, 2.062764441083348)","(0.13948081307341023, 2.6079937581471437)","(0.15945655287734123, 2.4202533708882554)","(0.144106295114791, 2.403558545038861)","(0.16596988409765068, 2.0249975908499964)","(0.18407714094115196, 1.961734269940312)","(0.1862283176762573, 1.9536712316984501)","(0.16222435105871638, 2.1661491308134995)","(0.19439017271741008, 1.9805172793827974)","(0.19738515404195717, 1.8590798016021812)","(0.23580951721607127, 1.6925497232281248)","(0.2246391058475442, 1.871711803985417)","(0.2909015459703188, 1.4952723446526066)","(0.32781106852689146, 1.2758005245798008)","(0.3247375511449835, 1.3918590003633402)","(0.2619210572732037, 1.5522721031914255)","(0.27151665722363294, 1.4417563981296069)","(0.2373148106317672, 1.6749160943281904)","(0.2795222869071262, 1.4413963327829633)","(0.24603509279634123, 1.6102737043926039)","(0.23717124903732745, 1.6495406015255767)","(0.19515099152415813, 2.0809331639931066)"
"(0.2598645674054528, 1.5510129092272258)","(0.27256464933087377, 1.493807138104871)","(0.2901020898049278, 1.4587317540764242)","(0.30230659365970874, 1.36110395131055)","(0.23200481662649178, 1.8245808872829987)","(0.2533509737791513, 1.6306124164149594)","(0.32643847032149076, 1.2715651444172)","(0.16199079392671784, 2.5068800431903173)","(0.13413995771045817, 2.7677788143006308)","(0.2060683431355966, 1.8498253699118261)","(0.19883282747201628, 1.9340432187392396)","(0.1558141284079504, 2.4075923946387587)","(0.1766833232850422, 2.2505364344589025)","(0.16644986224066236, 2.1756400422417173)","(0.1842486069632135, 1.9005967756090278)","(0.20307284317734506, 1.8563656370633712)","(0.2028649400178398, 1.8684301089362811)","(0.17741198052556734, 2.0548168604645225)","(0.19925020338736563, 1.9792785206095915)","(0.19797333275502021, 1.8868606195382402)","(0.2280492976249498, 1.7347703636595024)","(0.2361527763203066, 1.7839245018194316)","(0.2803712352107944, 1.549035222689363)","(0.3105261671067961, 1.3360435066569012)","(0.34172311040639186, 1.3331793964755023)","(0.28018033417702354, 1.4657784455576057)","(0.29820621021992866, 1.3389474579209721)","(0.23155833348030042, 1.7053429133766913)","(0.2803728201751853, 1.4600791159103879)","(0.25072205616874443, 1.6251388710346042)","(0.24363414860216567, 1.6501830334986196)","(0.20028240524157886, 2.0455593625841293)"
"(0.24730363156757135, 1.622254234287136)","(0.24600182220370911, 1.6096603752542675)","(0.29961545107765325, 1.4085689259689842)","(0.2620383793057286, 1.5547759616292367)","(0.21396750960330685, 1.9326882690343192)","(0.2674890369399959, 1.5460905801538845)","(0.33433236987251785, 1.2524451754048769)","(0.1597212801007469, 2.408839220237032)","(0.13441359547631707, 2.5939821285808002)","(0.24285643939094156, 1.5821539064737153)","(0.20812622888040755, 1.7583565474007963)","(0.15868211201414473, 2.2021833470822334)","(0.17725958500564323, 2.1413235197007516)","(0.1673889163081886, 2.0476560787454656)","(0.185499260553014, 1.8360539604449804)","(0.20249016478914345, 1.8236398883713112)","(0.19920656979733745, 1.8580779236930425)","(0.17507056207732177, 2.0118868569359845)","(0.18831211958893357, 2.0026912013317033)","(0.17860968614168346, 2.0414208816130888)","(0.2125780273489492, 1.8033254148198683)","(0.22259361526634422, 1.8163993250156822)","(0.2597592580500132, 1.6672970385072905)","(0.3016331479408158, 1.3504063079360478)","(0.3380293926588823, 1.3517763351113916)","(0.2675300974385715, 1.5396590824800727)","(0.2911607218627231, 1.3815398135809727)","(0.21129894680509873, 1.8252199817486758)","(0.27216277037036246, 1.5096437730620225)","(0.23011199266482454, 1.763750914884835)","(0.23956654537751296, 1.6682597177606868)","(0.180444327416282, 2.2005201550178515)"
"(0.19201670812969227, 2.117962422088045)","(0.20022117574052073, 2.009041942200382)","(0.2856211248079393, 1.5422061645681646)","(0.24271414075111028, 1.6561719625451807)","(0.14498958162758857, 2.8564271975157682)","(0.26018741029878184, 1.5929428274458612)","(0.33157582101472255, 1.2496400914816455)","(0.16619654415804663, 2.3314486036791027)","(0.1474919658165135, 2.2956537472838754)","(0.25581703691435576, 1.4943883353382736)","(0.18650376290874615, 1.9170285796069808)","(0.15448272473607727, 2.197057479543521)","(0.17173479214438087, 2.1521247932926872)","(0.14421330842880362, 2.3129810932574157)","(0.1554045184537876, 2.2139731909297677)","(0.15897370166348232, 2.3165822342270177)","(0.15997997136567818, 2.2987635797971055)","(0.15296267438280908, 2.2681919042113154)","(0.17801119577617522, 2.053532607151653)","(0.17021648763363809, 2.1033117358403444)","(0.20604422236356199, 1.8019944750305443)","(0.2144484669856599, 1.8020085984138072)","(0.23998792781193934, 1.7598467372900688)","(0.28666828844279196, 1.4057992043988377)","(0.33404720007891653, 1.3721244265332697)","(0.23297696879129476, 1.715103549523591)","(0.2719964915426729, 1.5075171263921836)","(0.17755976035436602, 2.213998429214583)","(0.22966693291890258, 1.8510242147150981)","(0.20376813662033758, 1.9547850753826397)","(0.18334331206908533, 2.1907026087031123)","(0.1542075310303142, 2.4841811857861438)"
"(0.18938013992226338, 2.1518805286368505)","(0.20025063736988263, 1.9753697240780326)","(0.28450179318666474, 1.5308834486573695)","(0.24251707275821308, 1.6343315620666097)","(0.1366175634229906, 2.9522657878740812)","(0.2635378821438047, 1.554468933241262)","(0.3286951737556174, 1.254551455923393)","(0.17609920744596275, 2.2163428194540344)","(0.15908590117505927, 1.9994138219645046)","(0.27356821338955956, 1.4383629584925113)","(0.1810231054654395, 1.9734297288971734)","(0.16220777307281617, 2.00498530885954)","(0.1772860493862075, 1.961507755541682)","(0.13944617304236545, 2.292189507151924)","(0.14606594864713576, 2.3009746670687545)","(0.15166546303757233, 2.4055885268209556)","(0.15657616276453637, 2.3355018644714307)","(0.1518146694695079, 2.2726594366588517)","(0.17763347683164085, 2.0360208729761293)","(0.167164491574583, 2.149642395012881)","(0.2011314885262063, 1.8375671312215975)","(0.20939937579855467, 1.7951126555726329)","(0.22955963435030977, 1.8401480156141188)","(0.2885713927406417, 1.4033868254871527)","(0.3361759052548589, 1.3646839457328732)","(0.23054855557052234, 1.730014568203507)","(0.2679275816192405, 1.5309971833216216)","(0.17524298631941967, 2.1824877737703994)","(0.22722511427885275, 1.8574195332312824)","(0.20365824321960696, 1.9440198306984573)","(0.17880433161888762, 2.2096406273420586)","(0.14805745701828554, 2.538563040245914)"
"(0.1861964327919808, 2.169758344773088)","(0.1930247164998963, 2.1011223277563644)","(0.2874881858978778, 1.4931591493140552)","(0.2420251763173893, 1.6748302709994638)","(0.13731124384079302, 2.9319148363969902)","(0.27433628110318353, 1.5243394558273249)","(0.3391749676983907, 1.2538955675591872)","(0.18563465727986037, 2.1154817134515094)","(0.17683910521131974, 1.8223452587965088)","(0.2940122667575708, 1.4078303516757025)","(0.18796907406290747, 1.8432187181948014)","(0.16688180750461493, 2.0159402131464024)","(0.17024008377316316, 2.054585047159699)","(0.13896929973804856, 2.324313068773028)","(0.14535950085894891, 2.316128858315071)","(0.14993689812410993, 2.4920027962055507)","(0.1518911921389035, 2.5085913455967614)","(0.1509367228451936, 2.3627451466388134)","(0.1686853917928069, 2.1414515504493794)","(0.1669276418715432, 2.161490315876124)","(0.20038164778706155, 1.7974836767977318)","(0.2013340099508004, 1.8362810112278467)","(0.23303664918329448, 1.7766328306292833)","(0.2986483567504676, 1.3685175355441113)","(0.3413366318582007, 1.3360294288319579)","(0.23087957493419622, 1.714090890077232)","(0.26924670125085204, 1.539864037222248)","(0.17335320054451148, 2.2509063616202463)","(0.2233085659639353, 1.8968475067864694)","(0.20604503132063962, 1.9508732693161706)","(0.18360457868678245, 2.1728458232903245)","(0.16478217331876982, 2.2701231623379967)"
"(0.20521340362486898, 2.019889697408691)","(0.22302053046862644, 1.8964086136208964)","(0.28920271715901147, 1.4790452208726064)","(0.25044017039192856, 1.6172654262787998)","(0.14008916115680936, 2.8221825816667345)","(0.2950366780681967, 1.4324388101923446)","(0.34343867004731704, 1.2344925056306062)","(0.18970953829652135, 2.0479941682647023)","(0.1726501665472342, 1.8790836197631196)","(0.2876619694499995, 1.4318829367832515)","(0.17515316797286987, 2.024046832363376)","(0.15899157556064789, 2.1014674000095375)","(0.157275440534345, 2.1924426512151856)","(0.12903984654882852, 2.534402936686472)","(0.13277036329316907, 2.581624848879273)","(0.1389265113223758, 2.7163914950394017)","(0.13635695717189542, 2.817529365357856)","(0.13674379160311703, 2.6249524155983113)","(0.14881381554465306, 2.4277325780985866)","(0.15211406712982767, 2.3962117615280922)","(0.17869324279966645, 2.023368370553409)","(0.17753212777309632, 2.040134631200173)","(0.22764380557394165, 1.8283186382777736)","(0.2953137850122758, 1.3865208715089317)","(0.3603037341781873, 1.273742331301008)","(0.2418163377679387, 1.6660154331845571)","(0.2735554633928923, 1.5620222445295353)","(0.20714683732001238, 2.0033904676355885)","(0.24160365074526027, 1.7736033639420417)","(0.22078721258530876, 1.872921870303794)","(0.1994773754348433, 2.0308417291280536)","(0.17424415858992903, 2.108244594503052)"
"(0.19553360044346713, 2.136888097273047)","(0.2440156947880974, 1.757661981495481)","(0.2923455070096241, 1.463097150706203)","(0.22802656728932252, 1.732085608760593)","(0.13031170983855977, 3.0037534483524677)","(0.2990022354342671, 1.4303650383146707)","(0.3470512987112073, 1.2190411200068956)","(0.19586842047667752, 2.0347013480524394)","(0.17175080465335157, 1.957886439718649)","(0.29089807466936496, 1.4275527376197192)","(0.17327845050263646, 2.0758422334734696)","(0.15847131339001705, 2.1381622881697386)","(0.15966250033689972, 2.1649548154131004)","(0.12889141321474937, 2.5199152268158853)","(0.12951051827130497, 2.650092502227499)","(0.13180448380220752, 2.8850546308838543)","(0.12793393345918094, 3.0404167699918787)","(0.13347931387655232, 2.7626230649223578)","(0.15164612975142788, 2.42690161727421)","(0.15025972288833075, 2.5370655140850737)","(0.1733026586527777, 2.1753413835606326)","(0.18030046307975137, 2.0588959331800396)","(0.2362124041653172, 1.7922577320273811)","(0.2849664105214563, 1.4493494330364227)","(0.36829347293939885, 1.2530236238345491)","(0.2312762528279071, 1.771489914429683)","(0.2653744213019574, 1.6656597732396938)","(0.21225755052469825, 1.9507994567809206)","(0.23917101660826298, 1.8034196394572144)","(0.21308550664664686, 1.9353058492403163)","(0.1866118117287854, 2.1751441488591348)","(0.16753576344669308, 2.2521951648476364)"
"(0.19519243880232917, 2.174738205961564)","(0.24935772125151215, 1.7012600722562505)","(0.285928740508314, 1.4642475795815644)","(0.238512027355928, 1.5869711051330375)","(0.12733300257151042, 3.067601185726204)","(0.31722545540416347, 1.3528357473261547)","(0.347357312778052, 1.2202475520242297)","(0.22332820942444043, 1.7868451232076579)","(0.18500514666949866, 1.904573863109319)","(0.3064347775010912, 1.375186875038983)","(0.1869111300760733, 1.9709871557770307)","(0.17742296130400592, 2.0119334567920086)","(0.1661701598660814, 2.090785606556364)","(0.13814705945270195, 2.4139930067304953)","(0.14209058821902265, 2.4213923060589018)","(0.13074395421156734, 2.8478484797015824)","(0.12502605491532787, 3.0522259632221895)","(0.13578957085799942, 2.6814941402686556)","(0.15298104569303292, 2.3899729202397464)","(0.14727605292848164, 2.501412932430304)","(0.1694773817112091, 2.1968940858484594)","(0.18332206285680905, 2.03669600240989)","(0.2558330515195479, 1.6502578346138295)","(0.2895067717918091, 1.399005208638715)","(0.37263437064503696, 1.2358094144771976)","(0.22217095889212932, 1.8324132322463762)","(0.2649164242936841, 1.642626574764563)","(0.22802290615965098, 1.8096265193499543)","(0.21664980411010423, 1.965693281803084)","(0.2230363538684071, 1.819771690780206)","(0.17974090480860236, 2.2310365295766355)","(0.1645049861027631, 2.2753724738986523)"
