Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
36,39,45,41,40,35,53,20,14,18,26,12,19,20,26,35,36,19,32,38,45,37,44,51,40,46,44,38,38,37,36,28
36,26,44,42,29,40,52,20,27,34,30,27,23,26,26,34,32,21,23,28,26,35,34,46,50,32,44,32,36,34,30,29
39,33,42,42,17,51,53,32,23,46,27,29,24,31,31,27,29,22,25,18,23,32,34,38,54,28,39,39,31,35,36,24
45,49,51,39,20,53,56,36,25,49,36,31,31,43,42,32,40,27,35,32,38,37,44,46,50,40,43,45,31,41,37,29
46,48,56,39,16,51,54,41,26,44,48,30,27,38,40,34,40,27,33,35,39,34,42,53,43,37,38,44,39,33,29,31
43,38,52,37,14,43,54,35,21,42,43,21,20,25,35,31,37,28,27,33,32,29,34,44,40,31,25,38,39,28,24,26
37,42,46,33,19,41,54,27,22,41,35,22,24,32,38,30,36,32,31,31,29,33,28,43,42,34,32,33,33,36,24,24
35,34,42,21,28,35,47,23,21,38,32,29,28,34,32,25,24,30,28,22,26,27,30,46,42,35,41,28,26,32,24,20
34,22,34,12,28,32,50,21,20,27,30,27,26,24,29,30,25,33,28,26,26,22,32,46,38,30,36,24,22,26,26,26
26,28,22,26,25,32,48,22,21,26,28,18,25,20,28,30,28,28,28,24,23,25,27,47,26,27,24,20,16,22,23,27
18,30,20,24,30,24,51,21,25,23,22,19,31,25,21,21,24,24,28,22,22,24,22,42,22,22,14,14,14,14,16,20
26,28,30,22,28,26,56,20,22,24,24,26,34,30,24,22,28,30,30,28,28,26,24,40,34,20,20,22,18,18,16,22
29,28,29,27,23,29,49,25,23,30,31,23,24,26,26,20,28,28,29,25,33,27,27,45,41,25,26,25,23,23,21,23
25,37,27,25,25,27,45,25,25,29,31,22,22,26,20,22,26,20,24,22,31,20,23,43,39,23,25,23,29,25,19,27
36,42,40,29,20,29,45,26,22,29,26,26,24,27,21,29,27,21,20,24,24,22,24,42,38,28,30,34,28,29,17,30
42,35,45,37,8,37,39,27,25,31,37,30,26,26,32,26,24,24,22,20,21,30,39,46,41,31,32,41,32,29,23,25
30,36,39,35,6,36,43,22,28,25,35,30,28,26,29,29,25,27,23,21,25,30,43,54,41,29,25,29,35,22,24,20
24,34,33,35,19,26,47,17,28,21,23,32,32,30,30,34,28,26,30,24,34,30,41,56,37,31,28,17,24,17,24,22
22,21,30,36,25,23,48,13,23,28,36,33,29,32,36,34,30,30,36,32,41,29,44,54,33,31,29,17,13,17,27,24
18,24,32,38,12,26,45,20,20,25,37,30,26,30,28,30,30,34,32,36,40,32,42,54,40,34,30,20,16,18,26,21
30,38,36,45,5,44,42,32,22,24,35,31,26,31,29,25,29,29,27,35,41,33,46,50,48,34,34,32,28,28,36,24
33,35,45,44,9,48,41,30,21,29,39,27,27,33,27,19,27,25,26,34,36,25,48,40,51,30,34,31,34,30,32,22
30,30,43,35,16,28,42,16,13,22,31,25,27,31,23,19,25,21,29,29,31,23,39,41,46,31,28,26,30,24,22,16
28,29,34,33,17,19,47,15,16,17,26,24,22,24,26,24,28,22,25,32,36,23,39,50,42,33,27,28,18,25,19,19
32,30,42,34,20,27,49,25,27,26,34,24,24,23,25,25,29,29,25,35,31,25,45,50,49,31,30,32,26,28,18,22
41,23,48,33,27,37,48,31,28,34,33,23,29,23,25,25,29,35,30,34,30,29,49,55,57,31,31,39,29,29,23,23
35,27,47,42,29,40,41,29,26,27,28,26,25,23,31,27,27,27,23,29,37,27,43,53,61,29,31,35,27,33,25,25
29,33,48,37,24,27,43,24,23,24,32,30,26,30,36,32,28,22,26,32,40,25,35,49,51,26,33,25,30,29,23,27
25,31,32,24,14,15,41,20,17,22,24,21,25,31,27,29,29,23,27,25,27,21,29,41,33,25,29,19,25,19,17,25
25,27,22,25,24,20,41,22,13,29,21,19,20,30,22,25,27,26,20,23,25,20,34,33,38,30,27,22,22,23,20,26
31,23,33,31,31,24,47,22,22,38,27,30,22,30,26,30,28,32,26,30,28,22,42,48,45,32,31,25,21,29,24,26
27,19,33,27,26,22,43,18,18,32,26,26,23,25,22,26,24,27,29,22,20,15,29,48,35,21,25,23,16,27,18,11
29,21,29,29,25,30,45,22,12,25,25,13,22,29,25,29,22,26,26,22,24,16,22,38,35,16,27,25,21,21,14,4
30,28,33,38,28,32,46,21,16,21,26,14,26,28,26,32,24,30,26,24,24,22,19,35,37,21,32,26,26,20,20,15
24,32,33,34,31,23,42,24,23,25,28,22,29,24,26,28,26,29,27,27,30,30,30,34,41,31,25,23,21,20,23,27
33,32,41,27,26,23,37,30,24,28,24,20,24,24,24,24,26,24,27,25,35,35,39,45,52,30,18,23,26,20,22,32
36,28,42,28,26,24,35,25,20,25,20,18,20,20,20,22,24,22,24,22,29,26,31,48,46,28,22,28,32,24,26,28
26,31,35,33,28,24,34,18,24,26,22,22,20,20,22,22,22,22,21,24,22,22,32,42,34,34,28,32,27,24,29,28
